rowID,characterID,portraitKey,portraitTexture,isEnable
Eclis_Default,Eclis,Default,Portraits/Eclis_Default.png,TRUE
Eclis_Talk,Eclis,Talk,Portraits/Eclis_Talk.png,TRUE
Eclis_SickOf,Eclis,SickOf,Portraits/Eclis_SickOf.png,TRUE
Eclis_Bored,Eclis,Bored,Portraits/Eclis_Bored.png,TRUE
Priest_Default,Priest,Default,Portraits/Priest_Default.png,TRUE
Priest_Talk,Prieist,Talk,Portraits/Priest_Talk.png,TRUE
Heca_Default,Heca,Default,Portraits/Heca_Default.png,TRUE
Heca_Talk,Heca,Talk,Portraits/Heca_Talk.png,TRUE
Heca_Laugh,Heca,Laugh,Portraits/Heca_Laugh.png,TRUE
Krabian_Default,Krabian,Default,Portraits/Krabian_Default.png,TRUE
Krabian_Talk,Krabian,Talk,Portraits/Krabian_Talk.png,TRUE
Krabian_Scared,Krabian,Scared,Portraits/Krabian_Scared.png,TRUE
Krabian_Delight,Krabian,Delight,Portraits/Krabian_Delight.png,TRUE
Clown_Default,Clown,Default,Portraits/Clown_Default.png,TRUE
Clown_Talk,Clown,Talk,Portraits/Clown_Talk.png,TRUE
Lucien_Default,Lucien,Default,Portraits/Lucien_Default.png,TRUE
Lucien_Talk,Lucien,Talk,Portraits/Lucien_Talk.png,TRUE
