rowID,isEnable,rewardType,targetID,amount,arguments
Reward_Relic_Krabian'sCanine,TRUE,Relic,Relic_Krabian'sCanine,1,
Reward_Relic_Priest_Priest'sOrb,TRUE,Relic,Relic_Priest_Priest'sOrb,1,
Reward_Relic_SoulOfGuardian1,TRUE,Relic,Relic_SoulOfGuardian1,1,
Reward_Relic_SoulOfGuardian2,TRUE,Relic,Relic_SoulOfGuardian2,1,
Reward_Relic_SoulOfGuardian3,TRUE,Relic,Relic_SoulOfGuardian3,1,
Reward_Relic_Heca'sGemstone,TRUE,Relic,Relic_Heca'sGemstone,1,
Reward_Relic_PowerOfKnight,TRUE,Relic,Relic_PowerOfKnight,1,
Reward_Relic_PowerOfProtector,TRUE,Relic,Relic_PowerOfProtector,1,
Reward_Relic_PowerOfVampire,TRUE,Relic,Relic_PowerOfVampire,1,
Reward_Relic_PowerOfPlunderer,TRUE,Relic,Relic_PowerOfPlunderer,1,
Reward_Relic_PowerOfWitch,TRUE,Relic,Relic_PowerOfWitch,1,
Reward_Relic_PowerOfElemental,TRUE,Relic,Relic_PowerOfElemental,1,
Reward_Relic_PowerOfKing,TRUE,Relic,Relic_PowerOfKing,1,
